Integer;INTEGER;;entier;
Decimal;NUMERIC;;flotant;
CharacterString;STRING;;texte;Lors d'une recherche on regardera l'appartenance du motif recherché aux valeurs du champ.
IDString;STRING;ID;identifiant sous forme de texte;Les recherches d'un motif pour un champ de ce type seront strictes (exactes).
Date;DATE;;date;
DateTime;DATE;;date heure;
TIME;TIME;Time;heure;
BOOLEAN;BOOLEAN;;booléen;
GEOM;GEOM;;Géométrie d'une observation;Géométrie d'une observation
PROVIDER_ID;CODE;DYNAMIC;Fournisseur de données;Fournisseur de données
region;ARRAY;DYNAMIC;[Liste] Région;Région
StatutSourceValue;CODE;DYNAMIC;Statut de la source;Statut de la source
DSPubliqueValue;CODE;DYNAMIC;DS de la DEE publique ou privée;DS de la DEE publique ou privée
StatutObservationValue;CODE;DYNAMIC;Statut de l'observation;Statut de l'observation
TaxRefValue;CODE;TAXREF;Code cd_nom du taxon;Code cd_nom du taxon
ObjetDenombrementValue;CODE;DYNAMIC;Objet du dénombrement;Objet du dénombrement
TypeDenombrementValue;CODE;DYNAMIC;Méthode de dénombrement;Méthode de dénombrement
CodeHabitatValue;ARRAY;DYNAMIC;[Liste] Code de l'habitat du taxon;Code de l'habitat du taxon
CodeRefHabitatValue;ARRAY;DYNAMIC;[Liste] Référentiel identifiant l'habitat;Référentiel identifiant l'habitat
NatureObjetGeoValue;CODE;DYNAMIC;Nature de l’objet géographique ;Nature de l’objet géographique 
CodeMailleValue;ARRAY;DYNAMIC;[Liste] Maille INPN 10*10 kms;Maille INPN 10*10 kms
CodeCommuneValue;ARRAY;DYNAMIC;[Liste] Code de la commune;Code de la commune
NomCommuneValue;ARRAY;STRING;[Liste] Nom de la commune;Nom de la commune
CodeENValue;ARRAY;DYNAMIC;[Liste] Code de l'espace naturel;Code de l'espace naturel
TypeENValue;ARRAY;DYNAMIC;[Liste] Type d'espace naturel oude zonage;Type d'espace naturel oude zonage
CodeDepartementValue;ARRAY;DYNAMIC;[Liste] Code INSEE du département;Code INSEE du département
CodeHabRefValue;ARRAY;DYNAMIC;[Liste] Code HABREF de l'habitat;Code HABREF de l'habitat
IDCNPValue;CODE;DYNAMIC;Code dispositif de collecte;Code dispositif de collecte
TypeInfoGeoValue;CODE;DYNAMIC;Type d'information géographique;Type d'information géographique
VersionMasseDEauValue;CODE;DYNAMIC;Version du référentiel Masse d'Eau;Version du référentiel Masse d'Eau
NiveauPrecisionValue;CODE;DYNAMIC;Niveau maximal de diffusion;Niveau maximal de diffusion
DEEFloutageValue;CODE;DYNAMIC;Floutage transformation DEE;Floutage transformation DEE
SensibleValue;CODE;DYNAMIC;Observation sensible;Observation sensible
SensibiliteValue;CODE;DYNAMIC;Degré de sensibilité;Degré de sensibilité
TypeRegroupementValue;CODE;DYNAMIC;Type de regroupement;Type de regroupement
OccurrenceNaturalisteValue;CODE;DYNAMIC;Naturalité de l'occurrence;Naturalité de l'occurrence
OccurrenceSexeValue;CODE;DYNAMIC;Sexe;Sexe
OccurrenceStadeDeVieValue;CODE;DYNAMIC;Stade de développement;Stade de développement
OccurrenceStatutBiologiqueValue;CODE;DYNAMIC;Comportement;Comportement
PreuveExistanteValue;CODE;DYNAMIC;Preuve de l'existance;Preuve de l'existance
ObservationMethodeValue;CODE;DYNAMIC;Méthode d'observation;Méthode d'observation
OccurrenceEtatBiologiqueValue;CODE;DYNAMIC;Code de l'état biologique;Code de l'état biologique
OccurrenceStatutBiogeographiqueValue;CODE;DYNAMIC;Code de l'état biogéographique;Code de l'état biogéographique
SensiManuelleValue;CODE;DYNAMIC;Mode de calcul de la sensibilité;Mode de calcul de la sensibilité
SensiAlerteValue;CODE;DYNAMIC;Alerte calcul sensibilité;Alerte calcul sensibilité
CodeMailleCalculeValue;ARRAY;DYNAMIC;[Liste] Code de la maille calculé;Code de la maille calculé
CodeCommuneCalculeValue;ARRAY;DYNAMIC;[Liste] Code de la commune calculé;Code de la commune calculé
NomCommuneCalculeValue;ARRAY;DYNAMIC;[Liste] Nom de la commune calculé;Nom de la commune calculé
CodeDepartementCalculeValue;ARRAY;DYNAMIC;[Liste] Code du département calculé;Code du département calculé
TypeAttributValue;CODE;DYNAMIC;Type de l'attribut additionnel;Type de l'attribut additionnel (quantitatif ou qualitatif)
