cd_nom,num_version_init,num_version_final,champ,valeur_init,valeur_final,type_change,cd_nom_remplacement,cd_raison_suppression
4295,10.0,11.0,CD_NOM,4295,,RETRAIT,,2
10669,10.0,11.0,CD_NOM,10669,,RETRAIT,10668,1
14258,10.0,11.0,CD_NOM,14258,,RETRAIT,14255,1
15397,10.0,11.0,CD_NOM,15397,,RETRAIT,15396,1
16224,10.0,11.0,CD_NOM,16224,,RETRAIT,16223,1
16226,10.0,11.0,CD_NOM,16226,,RETRAIT,16225,1
16231,10.0,11.0,CD_NOM,16231,,RETRAIT,16230,1
16232,10.0,11.0,CD_NOM,16232,,RETRAIT,242467,1
16273,10.0,11.0,CD_NOM,16273,,RETRAIT,242461,1
16274,10.0,11.0,CD_NOM,16274,,RETRAIT,242461,1
19694,10.0,11.0,CD_NOM,19694,,RETRAIT,227188,1
30839,10.0,11.0,CD_NOM,30839,,RETRAIT,509547,1
32127,10.0,11.0,CD_NOM,32127,,RETRAIT,59221,1
33072,10.0,11.0,CD_NOM,33072,,RETRAIT,33591,1
40994,10.0,11.0,CD_NOM,40994,,RETRAIT,59224,1
41082,10.0,11.0,CD_NOM,41082,,RETRAIT,463678,1
42525,10.0,11.0,CD_NOM,42525,,RETRAIT,42044,1
42651,10.0,11.0,CD_NOM,42651,,RETRAIT,42650,1
45616,10.0,11.0,CD_NOM,45616,,RETRAIT,50047,1
46674,10.0,11.0,CD_NOM,46674,,RETRAIT,46670,1
47565,10.0,11.0,CD_NOM,47565,,RETRAIT,860835,1
49292,10.0,11.0,CD_NOM,49292,,RETRAIT,49287,1
49631,10.0,11.0,CD_NOM,49631,,RETRAIT,49628,1
53844,10.0,11.0,CD_NOM,53844,,RETRAIT,53845,1
54482,10.0,11.0,CD_NOM,54482,,RETRAIT,8267,1
55583,10.0,11.0,CD_NOM,55583,,RETRAIT,658819,1
56682,10.0,11.0,CD_NOM,56682,,RETRAIT,457225,1
59605,10.0,11.0,CD_NOM,59605,,RETRAIT,659837,1
66845,10.0,11.0,CD_NOM,66845,,RETRAIT,,
70582,10.0,11.0,CD_NOM,70582,,RETRAIT,556545,1
71677,10.0,11.0,CD_NOM,71677,,RETRAIT,548385,1
73189,10.0,11.0,CD_NOM,73189,,RETRAIT,521475,1
73855,10.0,11.0,CD_NOM,73855,,RETRAIT,,
75653,10.0,11.0,CD_NOM,75653,,RETRAIT,529823,1
78809,10.0,11.0,CD_NOM,78809,,RETRAIT,232735,1
104932,10.0,11.0,CD_NOM,104932,,RETRAIT,,2
122546,10.0,11.0,CD_NOM,122546,,RETRAIT,159831,1
124071,10.0,11.0,CD_NOM,124071,,RETRAIT,,2
131293,10.0,11.0,CD_NOM,131293,,RETRAIT,,2
152766,10.0,11.0,CD_NOM,152766,,RETRAIT,152770,1
155092,10.0,11.0,CD_NOM,155092,,RETRAIT,616502,1
162194,10.0,11.0,CD_NOM,162194,,RETRAIT,,
244768,10.0,11.0,CD_NOM,244768,,RETRAIT,20696,1
337309,10.0,11.0,CD_NOM,337309,,RETRAIT,,2
350343,10.0,11.0,CD_NOM,350343,,RETRAIT,,2
350364,10.0,11.0,CD_NOM,350364,,RETRAIT,,2
350398,10.0,11.0,CD_NOM,350398,,RETRAIT,,2
350421,10.0,11.0,CD_NOM,350421,,RETRAIT,,2
350432,10.0,11.0,CD_NOM,350432,,RETRAIT,,2
350453,10.0,11.0,CD_NOM,350453,,RETRAIT,,2
350466,10.0,11.0,CD_NOM,350466,,RETRAIT,,2
350487,10.0,11.0,CD_NOM,350487,,RETRAIT,,2
