//"StatutSource";"IdentifiantOrigine";"JddId";"JddCode";"DSPublique";"CodeIDCNP";"StatutObservation";"NomCite";"CdNom";"Sensible";"IdentiteObservateur";"OrganismeObservateur";"OrganismeGestionnaireDonnees";"DateDebut";"DateFin";"Geometrie"
"Te";"000019_100225";"";"exploitation";"Pu";"";"Pr";"";100225;"Non";"Anonyme";"IGN";"IGN";"2005-06-29";"2005-06-29";"POINT(903872 6804836)"
"Te";"000019_100787";"";"exploitation";"Pu";"";"Pr";"";100787;"Non";"Anonyme";"IGN";"IGN";"2005-06-29";"2005-06-29";"POINT(903872 6804836)"
"Te";"000019_103316";"";"exploitation";"Pu";"";"Pr";"";103316;"Non";"Anonyme";"IGN";"IGN";"2005-06-29";"2005-06-29";"POINT(903872 6804836)"
"Te";"000019_103320";"";"exploitation";"Pu";"";"Pr";"";103320;"Non";"Anonyme";"IGN";"IGN";"2005-06-29";"2005-06-29";"POINT(903872 6804836)"
"Te";"000019_106595";"";"exploitation";"Pu";"";"Pr";"";106595;"Non";"Anonyme";"IGN";"IGN";"2005-06-29";"2005-06-29";"POINT(903872 6804836)"
"Te";"000019_107871";"";"exploitation";"Pu";"";"Pr";"";107871;"Non";"Anonyme";"IGN";"IGN";"2005-06-29";"2005-06-29";"POINT(903872 6804836)"
"Te";"000019_107880";"";"exploitation";"Pu";"";"Pr";"";107880;"Non";"Anonyme";"IGN";"IGN";"2005-06-29";"2005-06-29";"POINT(903872 6804836)"
"Te";"000019_108698";"";"exploitation";"Pu";"";"Pr";"";108698;"Non";"Anonyme";"IGN";"IGN";"2005-06-29";"2005-06-29";"POINT(903872 6804836)"
"Te";"000019_112778";"";"exploitation";"Pu";"";"Pr";"";112778;"Non";"Anonyme";"IGN";"IGN";"2005-06-29";"2005-06-29";"POINT(903872 6804836)"
"Te";"000019_114297";"";"exploitation";"Pu";"";"Pr";"";114297;"Non";"Anonyme";"IGN";"IGN";"2005-06-29";"2005-06-29";"POINT(903872 6804836)"
"Te";"000019_114611";"";"exploitation";"Pu";"";"Pr";"";114611;"Non";"Anonyme";"IGN";"IGN";"2005-06-29";"2005-06-29";"POINT(903872 6804836)"
"Te";"000019_115865";"";"exploitation";"Pu";"";"Pr";"";115865;"Non";"Anonyme";"IGN";"IGN";"2005-06-29";"2005-06-29";"POINT(903872 6804836)"
"Te";"000019_116012";"";"exploitation";"Pu";"";"Pr";"";116012;"Non";"Anonyme";"IGN";"IGN";"2005-06-29";"2005-06-29";"POINT(903872 6804836)"
"Te";"000019_117774";"";"exploitation";"Pu";"";"Pr";"";117774;"Non";"Anonyme";"IGN";"IGN";"2005-06-29";"2005-06-29";"POINT(903872 6804836)"
"Te";"000019_118016";"";"exploitation";"Pu";"";"Pr";"";118016;"Non";"Anonyme";"IGN";"IGN";"2005-06-29";"2005-06-29";"POINT(903872 6804836)"
"Te";"000019_119097";"";"exploitation";"Pu";"";"Pr";"";119097;"Non";"Anonyme";"IGN";"IGN";"2005-06-29";"2005-06-29";"POINT(903872 6804836)"
"Te";"000019_119149";"";"exploitation";"Pu";"";"Pr";"";119149;"Non";"Anonyme";"IGN";"IGN";"2005-06-29";"2005-06-29";"POINT(903872 6804836)"
"Te";"000019_122028";"";"exploitation";"Pu";"";"Pr";"";122028;"Non";"Anonyme";"IGN";"IGN";"2005-06-29";"2005-06-29";"POINT(903872 6804836)"
"Te";"000019_124306";"";"exploitation";"Pu";"";"Pr";"";124306;"Non";"Anonyme";"IGN";"IGN";"2005-06-29";"2005-06-29";"POINT(903872 6804836)"
