cleStation;idStaSINP;dSPublique;refBiblio;idOrigSta;dateDebut;dateFin;dateImprec;observer;nomStation;isComplex;exposition;altMin;altMax;altMoy;profMin;profMax;profMoy;surface;methCalcSu;usage;typeSol;geologie;acidite;comment;WKT;natObjGeo;precisGeom;echelleNum
1;;Pr;;1;2017-07-10;2017-07-10;false;INCONNU (CEN Midi-Pyrénées);;2;;;;;;;;3256.549;sig;;1;1;;;MULTIPOLYGON(((683910.268600002 6329334.3959,683925.422399998 6329332.1601,683940.978299998 6329337.4936,683953.867600001 6329341.9381,683968.979099996 6329348.1605,683980.090499997 6329350.3828,683987.357500002 6329353.3434,683994.79 6329342.49,684003.25 6329327.37,683920.76 6329285.51,683916.63 6329294.44,683913.35 6329312.23,683911.55 6329315.82,683910.268600002 6329334.3959)));St;;
2;;Pr;;2;2017-06-16;2017-06-16;false;INCONNU (CEN Midi-Pyrénées);;1;;;;;;;;719.586;sig;;2;2;;;MULTIPOLYGON(((389403.161399998 6275415.2739,389361.646899998 6275411.4996,389360.547499999 6275405.1788,389355.262599997 6275404.6431,389354.516 6275408.5635,389357.242399998 6275415.4847,389358.920199998 6275416.743,389360.598099999 6275427.6491,389359.339699998 6275428.0687,389360.178499997 6275433.5216,389379.683799997 6275431.634,389390.170500003 6275427.8588,389403.161399998 6275415.2739)));St;;
3;;Pr;;3;2017-07-02;2017-07-02;false;INCONNU (CEN Midi-Pyrénées);;1;;;;;;;;106.996;sig;;3;3;;;MULTIPOLYGON(((603314.5176 6181136.9527,603313.623499997 6181129.6218,603310.288099997 6181120.7267,603310.288099997 6181115.538,603307.213600002 6181112.361,603307.318300001 6181117.7451,603307.495399997 6181126.3442,603308.689099997 6181134.3991,603309.4485 6181139.5156,603314.5176 6181136.9527)));St;;
4;;Pr;;4;2017-06-09;2017-06-09;false;INCONNU (CEN Midi-Pyrénées);;1;;;;;;;;562.124;sig;;4;4;;;MULTIPOLYGON(((684605.307800002 6330331.3478,684605.92 6330330.54,684610.53 6330321.2,684613.47 6330319.26,684608.970799997 6330315.5408,684605.5537 6330318.5308,684598.440200001 6330316.5907,684586.584299996 6330314.6507,684581.842 6330315.7285,684577.5308 6330320.4708,684574.973099999 6330320.7692,684574.77 6330325.62,684554.22 6330330.96,684554.635499999 6330336.844,684560.717100002 6330335.3445,684580.764200002 6330329.5243,684591.973300003 6330328.0154,684597.5779 6330329.0932,684605.307800002 6330331.3478)));St;;
5;;Pr;;5;2017-07-10;2017-07-10;false;INCONNU (CEN Midi-Pyrénées);;1;;;;;;;;242.178;sig;;5;5;;;MULTIPOLYGON(((676732.716700003 6322919.0771,676733.593699999 6322913.9902,676713.793899998 6322925.6628,676716.004600003 6322928.9791,676718.783500001 6322931.7576,676722.256800003 6322938.3572,676725.391099997 6322942.8995,676726.614200003 6322938.7405,676732.716700003 6322919.0771)));St;;
6;;Pr;;6;2017-07-10;2017-07-10;false;INCONNU (CEN Midi-Pyrénées);;1;;;;;;;;664.544;sig;;6;6;;;MULTIPOLYGON(((676804.219400004 6323042.5206,676806.7958 6323041.7845,676812.316500001 6323042.5206,676820.553300001 6323046.4742,676810.670100003 6323026.12,676810.108099997 6323032.5829,676801.274800003 6323034.0551,676796.1219 6323030.7426,676793.177500002 6323024.8537,676788.760799997 6323015.2842,676783.608 6323012.7078,676776.982900001 6323010.4994,676773.793 6323008.406,676775.772699997 6323011.9694,676777.8068 6323021.1232,676779.172899999 6323023.1722,676781.197 6323026.2085,676783.2311 6323032.9889,676785.265299998 6323041.1256,676793.063 6323050.9572,676793.495300002 6323051.6184,676793.545699999 6323051.3538,676797.594300002 6323045.8331,676804.219400004 6323042.5206)));St;;
7;;Pr;;7;2017-06-13;2017-06-13;false;INCONNU (CEN Midi-Pyrénées);;1;;;;;;;;890.158;sig;;7;7;;;MULTIPOLYGON(((510826.163699999 6225238.8519,510809.6712 6225238.8519,510786.149099998 6225240.4742,510768.575099997 6225243.4482,510751.001199998 6225250.4778,510745.321 6225257.6819,510790.23 6225254.11,510815.83 6225246.64,510842.074100003 6225244.4569,510835.085900001 6225241.826,510826.163699999 6225238.8519)));St;;
8;;Pr;;8;2017-06-13;2017-06-13;false;INCONNU (CEN Midi-Pyrénées);;1;;;;;;;;3561.75;sig;;8;8;;;MULTIPOLYGON(((511102.961199999 6225271.1159,511088.902 6225268.6826,511072.679899998 6225270.3048,511067.542900003 6225263.0049,511052.672600001 6225261.653,511052.298600003 6225261.4958,511034.017200001 6225253.8123,511021.309799999 6225248.1346,511003.195100002 6225241.3754,510979.673100002 6225230.2903,510963.135300003 6225227.534,510963.98 6225231.75,510973.72 6225235.83,510975.84 6225236.48,510979.29 6225237.92,510982.55 6225239.73,510985.58 6225241.91,510986.61 6225242.94,510987.13 6225244.1,510987.25 6225245.36,510986.94 6225246.6,510984.13 6225250.8,510981.68 6225254.81,511011.76 6225267.61,511035.25 6225281.55,511055.36 6225287.21,511097.45 6225294.32,511097.876500003 6225294.3795,511100.75 6225294.78,511104.09 6225294.82,511107.39 6225294.44,511144.530299999 6225288.0617,511144.097599998 6225287.7052,511136.757299997 6225281.6603,511128.646200001 6225278.4159,511116.209299996 6225275.9826,511102.961199999 6225271.1159)));St;;
9;;Pr;;9;2017-07-07;2017-07-07;false;INCONNU (CEN Midi-Pyrénées);;1;;;;;;;;609.385;sig;;9;9;;;MULTIPOLYGON(((594035.712 6175136.1518,594035.665200002 6175135.9713,594034.072400004 6175137.9984,594035.174599998 6175147.9184,594037.746399999 6175158.9408,594040.685800001 6175169.5958,594043.992399998 6175180.618,594045.094599999 6175187.9663,594050.800499998 6175228.7212,594050.951800004 6175228.3932,594052.155 6175218.3669,594050.149700001 6175209.5438,594047.342399999 6175197.5123,594046.540299997 6175191.4966,594046.941299997 6175187.4862,594052.155 6175180.6682,594055.697 6175177.9598,594054.249899998 6175173.5461,594048.657499999 6175154.7353,594047.980400003 6175143.2248,594045.337200001 6175142.1675,594035.712 6175136.1518)));St;;
10;;Pr;;10;2017-07-07;2017-07-07;false;INCONNU (CEN Midi-Pyrénées);;1;;;;;;;;117.998;sig;;10;10;;;MULTIPOLYGON(((594061.113499999 6175254.3823,594061.599699996 6175249.8849,594056.967500001 6175253.6593,594047.843900003 6175250.8825,594047.666599996 6175251.1613,594045.905699998 6175263.8407,594060.176 6175257.6697,594060.350400001 6175257.376,594061.113499999 6175254.3823)));St;;
