##########################
#   Consultation         #
##########################
child(ren);enfant(s) rattaché(s)

##########################
#   Validation           #
##########################
'%hostname%' does not appear to have a valid MX record for the email address '%value%';'%hostname%' ne semble pas avoir d'enregistrement MX valide pour l'adresse email '%value%'
'%hostname%' is no valid hostname for email address '%value%';'%hostname%' n'est pas un nom d'hôte valide pour l'adresse email '%value%'
'%hostname%' is not in a routable network segment. The email address '%value%' should not be resolved from public network;'%hostname%' n'est pas dans un segment réseau routable. L'adresse email '%value%' ne devrait pas être résolue depuis un réseau public.
'%localPart%' can not be matched against dot-atom format;'%localPart%' ne correspond pas au format dot-atom
'%localPart%' can not be matched against quoted-string format;'%localPart%' ne correspond pas au format quoted-string
'%localPart%' is no valid local part for email address '%value%';'%localPart%' n'est pas une partie locale valide pour l'adresse email '%value%'
'%value%' appears to be a DNS hostname but cannot extract TLD part;'%value%' semble être un nom d'hôte DNS mais l'extension TLD ne peut être extraite
'%value%' appears to be a DNS hostname but cannot match TLD against known list;'%value%' semble être un nom d'hôte DNS mais son extension TLD semble inconnue
'%value%' appears to be a DNS hostname but cannot match against hostname schema for TLD '%tld%';'%value%' semble être un nom d'hôte DNS valide mais ne correspond pas au schéma de l'extension TLD '%tld%'
'%value%' appears to be a DNS hostname but contains a dash in an invalid position;'%value%' semble être un nom d'hôte DNS mais il contient un tiret à une position invalide
'%value%' appears to be a DNS hostname but the given punycode notation cannot be decoded;'%value%' semble être un DNS valide mais le code n'a pu être décodé
'%value%' appears to be a local network name but local network names are not allowed;'%value%' semble être un nom réseau local mais les noms locaux sont interdits
'%value%' appears to be an IP address, but IP addresses are not allowed;'%value%' semble être une IP valide mais celles-ci ne sont pas autorisées
'%value%' contains an invalid amount of digits;'%value%' contient un nombre incorrect de chiffres
'%value%' contains characters which are non alphabetic and no digits;'%value%' contient des caractères non alphabétiques et non numériques
'%value%' contains invalid characters;'%value%' contient des caractères invalides
'%value%' contains non alphabetic characters;'%value%' contient des caractères non alphabétiques
'%value%' does not appear to be a float;'%value%' ne semble pas être de type flottant
'%value%' does not appear to be a postal code;'%value%' ne semble pas être un code postal valide
'%value%' does not appear to be a valid IP address;'%value%' n'est pas une IP valide
'%value%' does not appear to be a valid date;'%value%' ne semble pas être une date valide
'%value%' does not appear to be a valid local network name;'%value%' ne semble pas être une adresse réseau local valide
'%value%' does not appear to be an integer;'%value%' n'est pas un entier
'%value%' does not fit the date format '%format%';'%value%' ne correspond pas au format de date '%format%'
'%value%' does not match against pattern '%pattern%';'%value%' n'a pas de correspondance avec le motif '%pattern%'
'%value%' does not match the expected structure for a DNS hostname;'%value%' ne correspond pas à la structure d'un nom d'hôte DNS valide
'%value%' exceeds the allowed length;'%value%' excède la taille autorisée
'%value%' failed checksum validation;'%value%' ne passe pas la validation de somme de contrôle
'%value%' has a false IBAN format;'%value%' n'a pas un format IBAN valide
'%value%' has failed the IBAN check;'%value%' n'a pas passé la validation IBAN
'%value%' has not only hexadecimal digit characters;'%value%' ne contient pas uniquement des caractères héxadécimaux
'%value%' is an empty string;'%value%' est une chaîne vide
'%value%' is less than %min% characters long;La taille de '%value%' est inférieure à %min% caractères
